"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (HHS Data)","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied (State Nowcast)","Percent Occupied (State HHS Data)","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2022-09-26,"ME",10093.7579692164,1441.96542417377,719.121508727221,102.731644103889,2254.4,659,598.121508727221,320,100,239.571428571429,0,2768.46829640947,16.6142283688043,73.46870525518,76.2007945106537,68.75,"No","No","Has Capacity","Has Capacity",
2022-09-26,"MI",75888.6402789569,10841.2343255653,4030.87417209589,575.839167442269,15657.4,4577,3054.87417209589,2365,594,2414.42857142857,0,37677.2562691025,22.2707903816356,80.4892627633203,78.5127458804751,74.8837209302326,"No","No","Has Capacity","Has Capacity",
2022-09-26,"MN",21185.9180523107,3026.55972175867,1455.57205654073,207.938865220104,6511.1,1575,1019.57205654073,813,210,954,0,14314.3372137846,31.5209375563107,84.3410167784134,82.5542755870625,74.169741697417,"No","No","Has Capacity","Has Capacity",
2022-09-26,"MO",36850.4603517068,5264.35147881526,2669.70620739686,381.386601056694,11045.2,2767,2001.70620739686,1718,500,1071.14285714286,0,19322.974789916,20.3470999505511,81.8771393238977,80.7325395167468,70.8963911525029,"No","No","Has Capacity","Has Capacity",
2022-09-26,"MS",65675.8221114528,9382.26030163611,2304.73318821622,329.247598316603,5785.9,3274,2177.73318821622,751,183,443.285714285714,0,14161.6862826357,4.72472197566734,62.3613752706369,60.4971042471042,75.6324900133156,"No","No","Has Capacity","Has Capacity",
2022-09-26,"MT",7020.64197198276,1002.94885314039,700.068624363617,100.009803480517,1903.5,919,572.068624363617,222,96,204.142857142857,0,2824.85,20.3542639790307,69.9464867683942,64.8834543370271,56.7567567567568,"No","No","Has Capacity","Has Capacity",
2022-09-26,"NC",106198.722385078,15171.2460550112,4616.91846814342,659.559781163346,17630.4,4905,3747.91846814342,2150,427,2309.71428571429,1487,35534.9726091473,15.2242886137317,78.7417275379831,77.1232685042675,80.1395348837209,"No","No","Has Capacity","Has Capacity",
2022-09-26,"ND",7389.63537414966,1055.66219630709,399.287996618766,57.0411423741094,1453.9,512,336.287996618766,210,108,145.714285714286,0,7483.89795918367,13.803116775804,76.8699362666782,74.1021750126454,48.5714285714286,"No","No","Has Capacity","Has Capacity",
2022-09-26,"NE",12897.23446401,1842.46206628714,890.850777934936,127.264396847848,2784.1,1289,781.850777934936,479,143,203.428571428571,0,5921.50917431193,11.0411267157599,71.9172882462937,70.0650255457501,70.1461377870564,"No","No","Has Capacity","Has Capacity",
2022-09-26,"NH",7950.56406611988,1135.79486658855,522.49302252816,74.6418603611658,2557.5,581,428.49302252816,227,39,241.285714285714,0,2400.54407294833,21.2437757365847,83.2456296176672,77.5589030513712,82.8193832599119,"No","No","Has Capacity","Has Capacity",
