"date","state","avgnewcases","new_case"
2021-10-11,"AK",825.2,913
2021-10-11,"AL",986,897
2021-10-11,"AR",615.5,217
2021-10-11,"AS",0.2,0
2021-10-11,"AZ",2313.6,1760
2021-10-11,"CA",6020.7,16921
2021-10-11,"CO",2083.2,1962
2021-10-11,"CT",404.3,367
2021-10-11,"DC",126.2,109
2021-10-11,"DE",435.9,359
2021-10-11,"FL",3181,2671
2021-10-11,"FSM",0,0
2021-10-11,"GA",2586,1752
2021-10-11,"GU",120.9,185
2021-10-11,"HI",195,107
2021-10-11,"IA",1188,890
2021-10-11,"ID",1053,970
2021-10-11,"IL",2513.9,1965
2021-10-11,"IN",2118.2,1574
2021-10-11,"KS",803.9,567
2021-10-11,"KY",1785.7,816
2021-10-11,"LA",688.7,490
2021-10-11,"MA",1335.1,1155
2021-10-11,"MD",1115.8,809
2021-10-11,"ME",354.2,-1
2021-10-11,"MI",3942.8,3276
2021-10-11,"MN",2405.3,1067
2021-10-11,"MO",1181.4,988
2021-10-11,"MP",0.7,0
2021-10-11,"MS",639.6,820
2021-10-11,"MT",833.7,554
2021-10-11,"NC",3211.4,1557
2021-10-11,"ND",538.3,951
2021-10-11,"NE",557.5,349
2021-10-11,"NH",408.2,213
2021-10-11,"NJ",1628.4,954
2021-10-11,"NM",694.6,606
2021-10-11,"NV",607.4,617
2021-10-11,"NY",4744.7,4728
2021-10-11,"OH",5006.1,2936
2021-10-11,"OK",1154.4,824
2021-10-11,"OR",1228.4,960
2021-10-11,"PA",4694.4,2872
2021-10-11,"PR",123.4,16
2021-10-11,"PW",0.3,0
2021-10-11,"RI",265.1,207
2021-10-11,"RMI",0,0
2021-10-11,"SC",1798,1277
2021-10-11,"SD",266.7,107
2021-10-11,"TN",2201.7,800
2021-10-11,"TX",6162.7,2586
2021-10-11,"UT",1325.4,1091
2021-10-11,"VA",2278.6,1644
2021-10-11,"VI",17.4,5
2021-10-11,"VT",186.5,206
2021-10-11,"WA",2362.2,2181
2021-10-11,"WI",2662.3,1919
2021-10-11,"WV",1179.1,757
2021-10-11,"WY",396.8,280
2021-10-12,"AK",796.7,444
2021-10-12,"AL",1009.8,1116
2021-10-12,"AR",624.6,733
2021-10-12,"AS",0,0
2021-10-12,"AZ",2222.3,2029
2021-10-12,"CA",6429.8,4091
2021-10-12,"CO",2112,2000
2021-10-12,"CT",405,372
2021-10-12,"DC",121.8,109
2021-10-12,"DE",390.6,165
2021-10-12,"FL",3119.5,2581
2021-10-12,"FSM",0,0
2021-10-12,"GA",2502.1,1758
2021-10-12,"GU",123.3,134
2021-10-12,"HI",173,49
2021-10-12,"IA",1283.1,2060
2021-10-12,"ID",1058.9,971
2021-10-12,"IL",2472.7,1967
2021-10-12,"IN",2075.5,1601
2021-10-12,"KS",849.4,1060
2021-10-12,"KY",1752.6,1966
2021-10-12,"LA",744.1,1129
2021-10-12,"MA",1339.5,1160
2021-10-12,"MD",1028.2,411
2021-10-12,"ME",436,888
2021-10-12,"MI",4099,4833
2021-10-12,"MN",3080,7925
2021-10-12,"MO",1213.4,1330
2021-10-12,"MP",1.1,4
2021-10-12,"MS",659.5,719
2021-10-12,"MT",840.1,554
2021-10-12,"NC",2972.8,2413
2021-10-12,"ND",591.1,661
2021-10-12,"NE",602.1,838
2021-10-12,"NH",503.6,1384
2021-10-12,"NJ",1599.1,1642
2021-10-12,"NM",696.8,609
2021-10-12,"NV",642.3,972
2021-10-12,"NY",4619.3,3525
2021-10-12,"OH",4842.3,4456
2021-10-12,"OK",1176.4,1214
2021-10-12,"OR",1254.8,1351
2021-10-12,"PA",4745,3898
2021-10-12,"PR",120.2,168
2021-10-12,"PW",0.3,0
2021-10-12,"RI",262.3,253
2021-10-12,"RMI",0,0
2021-10-12,"SC",1613.7,988
2021-10-12,"SD",265.4,108
2021-10-12,"TN",2117.3,2611
2021-10-12,"TX",6344.7,9217
2021-10-12,"UT",1324.7,1093
2021-10-12,"VA",2325.2,2360
2021-10-12,"VI",15.4,5
2021-10-12,"VT",175.7,112
2021-10-12,"WA",2320,1885
2021-10-12,"WI",2773.1,3292
2021-10-12,"WV",1097.7,753
2021-10-12,"WY",418.1,483
2021-10-13,"AK",844.3,1205
2021-10-13,"AL",1053.7,1146
2021-10-13,"AR",645.4,694
2021-10-13,"AS",0,0
2021-10-13,"AZ",2228.7,2319
2021-10-13,"CA",6833.2,4034
2021-10-13,"CO",2186.9,2461
2021-10-13,"CT",392.5,240
2021-10-13,"DC",111.3,48
2021-10-13,"DE",382.5,321
2021-10-13,"FL",3192,3440
2021-10-13,"FSM",0,0
2021-10-13,"GA",2443.5,2011
2021-10-13,"GU",122.5,95
2021-10-13,"HI",156.7,113
2021-10-13,"IA",1207.8,356
2021-10-13,"ID",1227.4,2024
2021-10-13,"IL",2526.1,2913
2021-10-13,"IN",2142.2,2695
2021-10-13,"KS",895,1061
2021-10-13,"KY",1844.9,2107
2021-10-13,"LA",741.7,551
2021-10-13,"MA",1404.2,1763
2021-10-13,"MD",1030.3,1113
2021-10-13,"ME",471.4,802
2021-10-13,"MI",4376.2,6043
2021-10-13,"MN",3199.8,2376
2021-10-13,"MO",1283.1,1459
2021-10-13,"MP",0.9,0
2021-10-13,"MS",660.2,528
2021-10-13,"MT",925.5,1344
2021-10-13,"NC",2988.3,3098
2021-10-13,"ND",640.1,623
2021-10-13,"NE",636.8,739
2021-10-13,"NH",515,544
2021-10-13,"NJ",1628.3,1746
2021-10-13,"NM",708.9,708
2021-10-13,"NV",652.8,728
2021-10-13,"NY",4611.5,4762
2021-10-13,"OH",5062.6,5648
2021-10-13,"OK",1195.2,1182
2021-10-13,"OR",1259.7,1136
2021-10-13,"PA",4617.3,5012
2021-10-13,"PR",118.6,85
2021-10-13,"PW",0.3,0
2021-10-13,"RI",270.5,307
2021-10-13,"RMI",0,0
2021-10-13,"SC",1467.8,956
2021-10-13,"SD",362.1,1088
2021-10-13,"TN",2178,2251
2021-10-13,"TX",6961.9,8849
2021-10-13,"UT",1399.2,1845
2021-10-13,"VA",2396,2602
2021-10-13,"VI",15.2,13
2021-10-13,"VT",194.7,301
2021-10-13,"WA",2396,3067
2021-10-13,"WI",2845.1,2904
2021-10-13,"WV",1108,1130
2021-10-13,"WY",435,439
2021-10-14,"AK",867.3,959
2021-10-14,"AL",1013.9,1142
2021-10-14,"AR",704,781
2021-10-14,"AS",0,0
2021-10-14,"AZ",2256,2386
2021-10-14,"CA",5659.7,7263
2021-10-14,"CO",2333.4,3179
2021-10-14,"CT",446.6,908
2021-10-14,"DC",106.1,102
2021-10-14,"DE",395.4,494
2021-10-14,"FL",3113.2,2873
2021-10-14,"FSM",0,0
2021-10-14,"GA",2393.7,2102
2021-10-14,"GU",116.5,105
2021-10-14,"HI",153.5,156
